Firma;Stitz Registergericht;Bundesland;Branchencode (1);Bilanzsumme;Anzahl MA;fixe Quote;Mitgliederzahl Aufsichtsrat;Davon Frauen;Boersennotiert
SONA BLW Präzisionsschmiede GmbH;München;BY;24;0;0;nein;9;0;0
Sparda-Bank Baden-Württemberg eG;Stuttgart;BW;64.19.1;0;0;nein;15;4;0
Sparda-Bank München eingetragene Genossenschaft;München;BY;64.19.1;0;0;nein;9;3;0
Sparda-Bank Südwest eG;Mainz;RP;64.19.2;0;0;nein;15;1;0
Sparkassen-Versicherung Sachsen Allgemeine Versicherung Aktiengesellschaft;Dresden;SN;65.12.2;0;0;nein;9;1;0
Sparkassen-Versicherung Sachsen Lebensversicherung Aktiengesellschaft;Dresden;SN;65;0;0;nein;9;1;0
SPIE Fleischhauer GmbH;Hannover;NI;71.12.1;0;0;nein;3;0;0
SPIE SAG Group GmbH;Ratingen;NW;70.10.1;1242393000;8005;nein;12;1;0
Spiele Max GmbH;Berlin;BE;46.49.1;0;0;nein;3;0;0
Spiele Max Holding GmbH;Berlin;BE;70.10;86200948;625;nein;3;1;0
Splendid Medien AG;Köln;NW;64.20.0;63649000;173;nein;3;1;1
SPORTTOTAL AG;Köln;NW;46.49.2;31626000;182;nein;3;0;1
Sprint Sanierung GmbH;Köln;NW;43.99.9;0;0;nein;3;0;0
Staatliche Porzellan-Manufaktur Meissen GmbH;Meißen;SN;23.41.0;92273634;631;nein;9;2;0
Stabilus GmbH;Koblenz;RP;29.32.0;0;0;nein;3;0;0
STADA Arzneimittel Aktiengesellschaft;Bad Vilbel;HE;21. Feb;3560126000;10247;nein;8;0;1
Stadt Braunschweig Beteiligungs-Gesellschaft mbH;Braunschweig;NI;70.10;298177406;1051;nein;9;2;0
Stadtverkehr Lübeck GmbH;Lübeck;SH;49.41;0;0;nein;10;1;0
Stadtwerke Bielefeld Gesellschaft mit beschränkter Haftung;Bielefeld;NW;35;0;0;nein;16;2;0
Stadtwerke Bonn GmbH (SWB);Bonn;NW;35;698123911;2248;nein;16;4;0
Stadtwerke Bonn Verkehrs-GmbH (SWBV);Bonn;NW;49.31.0;0;0;nein;6;2;0
Stadtwerke Duisburg Aktiengesellschaft;Duisburg;NW;35;0;0;nein;21;2;0
Stadtwerke Halle GmbH;Halle (Saale);ST;35;1326550771;2574;nein;16;6;0
Stadtwerke Karlsruhe GmbH;Karlsruhe;BW;35;0;0;nein;15;4;0
Stadtwerke Kiel Aktiengesellschaft;Kiel;SH;35;0;0;nein;12;3;0
Stadtwerke Köln Gesellschaft mit beschränkter Haftung;Köln;NW;35;5276659000;12081;nein;19;5;0
Stadtwerke Leipzig GmbH;Leipzig;SN;35.30.0;0;0;nein;21;6;0
Stadtwerke Lübeck  Holding GmbH;Lübeck;SH;70.10;403723000;1218;nein;12;2;0
Stadtwerke Marburg GmbH;Marburg;HE;35;174827593;594;nein;15;5;0
Stadtwerke Osnabrück Aktiengesellschaft;Osnabrück;NI;35;663956685;1295;nein;15;3;0
Stadtwerke Solingen GmbH;Solingen;NW;35;0;0;nein;18;4;0
Stadtwerke Verkehrsgesellschaft Frankfurt am Main mbH;Frankfurt am Main;HE;49.39.9;0;0;nein;20;3;0
State Street Bank International GmbH;München;BY;64.19.1;0;4511;nein;5;2;0
STEAG GmbH;Essen;NW;35;0;0;nein;20;2;0
STEAG Technischer Service GmbH;Essen;NW;62.02.0;0;0;nein;6;0;0
Steelcase Aktiengesellschaft;München;BY;46.66;1859200000;0;nein;6;3;0
steep GmbH;Bonn;NW;43.21;0;0;nein;3;1;0
Steigenberger Hotels Aktiengesellschaft;Frankfurt am Main;HE;55.10.1;169896000;2676;nein;12;4;0
STILL Gesellschaft mit beschränkter Haftung;Hamburg;HH;46.69.1;0;0;nein;12;2;0
STRABAG Property and Facility Services GmbH;Münster;NW;68;0;0;nein;12;2;0
STRATEC Biomedical AG;Birkenfeld;BW;46.46.2;263776000;901;nein;3;1;1
STRÖER Dialog Verwaltung Hamburg GmbH;Hamburg;HH;62.01.9;15647000;3317;nein;12;2;0
Stromnetz Berlin GmbH;Berlin;BE;35;0;0;nein;12;6;0
Stuttgarter Lebensversicherung a.G.;Stuttgart;BW;65;7310512945;527;nein;6;0;0
Stuttgarter Straßenbahnen Aktiengesellschaft;Stuttgart;BW;49.31;0;0;nein;18;5;0
Süddeutsche Krankenversicherung a.G.;Fellbach;BW;65;0;0;nein;12;2;0
Südwestdeutsche Salzwerke Aktiengesellschaft;Heilbronn;BW;08.93.0;331267000;981;nein;12;1;1
Südzucker AG;Mannheim;BW;Okt 81;8735600000;16486;ja;20;4;
Sumitomo (SHI) Demag Plastics Machinery GmbH;Schwaig;BY;28.96.0;7,83E+11;2772;nein;3;0;0
Superior Industries Europe AG;Bad Dürkheim;RP;70.1;434800000;3320;nein;3;1;0
SÜSS MicroTec SE;Garching b.München;BY;28.99.0;199557000;841;nein;4;1;1
SV SparkassenVersicherung Gebäudeversicherung Aktiengesellschaft;Stuttgart;BW;65.12.2;0;0;nein;21;3;0
SV SparkassenVersicherung Holding Aktiengesellschaft;Stuttgart;BW;70.10.1;28687411000;3491;nein;20;2;0
Sweco GmbH;Bremen;HB;71.12.1;0;0;nein;3;0;0
SWK Stadtwerke Krefeld Aktiengesellschaft;Krefeld;NW;35;682721844;2656;nein;20;4;0
Symrise AG;Hildesheim;NI;20. Apr;4674621000;9188;ja;12;3;
Syna GmbH;Frankfurt am Main;HE;35;0;0;nein;15;5;0
Syzygy AG;Bad Homburg v. d. Höhe;HE;70.10.1;109646000;574;nein;3;0;1
TA Triumph-Adler GmbH;Nürnberg;BY;28.23.0;203768517;1101;nein;3;0;0
TAG Immobilien AG;Hamburg;HH;68.10;5033343000;993;nein;6;1;1
Takeda GmbH;Konstanz;BW;20.59;4,35E+12;0;nein;12;1;0
TAKKT AG;Stuttgart;BW;70.10.1;928458000;2341;nein;6;1;1
Talanx Aktiengesellschaft;Hannover;NI;65.2;1,58E+11;21416;ja;16;4;
TARGO Dienstleistungs GmbH;Duisburg;NW;82.20.0;0;0;nein;3;2;0
TDK Electronics AG;München;BY;26. Nov;2876592000;23581;nein;6;0;0
TEAG Thüringer Energie AG;Erfurt;TH;35.1;1420083000;1690;nein;15;3;0
team AG;Süderbrarup;SH;70.1;378515180;1892;nein;12;2;0
TeamBank AG Nürnberg;Nürnberg;BY;64.1;0;0;nein;12;2;0
teamtechnik Maschinen und Anlagen GmbH;Freiberg am Neckar;BW;28.99;107602881;922;nein;0;0;0
technotrans AG;Sassenberg;NW;96.09;125307000;1293;nein;6;0;1
TECTRION GmbH;Leverkusen;NW;28.49;0;0;nein;3;0;0
Tele Columbus AG;Berlin;BE;64.20.0;2025780000;1193;nein;6;2;1
Telefónica Deutschland Holding AG;München;BY;62.0;14100000000;9405;ja;16;6;
Telemotive Aktiengesellschaft;Mühlhausen im Täle;BW;71.12.9;0;0;nein;3;0;0
TELES Aktiengesellschaft Informationstechnologien;Berlin;BE;46.51.0;1203000;58;nein;3;0;1
TenneT TSO GmbH;Bayreuth;BY;35.13;0;0;nein;6;0;0
tesa SE;Norderstedt;SH;46.75;0;0;nein;6;0;0
Texas Instruments Deutschland Gesellschaft mit beschränkter Haftung;Freising;BY;28.29;0;0;nein;3;2;0
Thomas Cook GmbH;Oberursel (Taunus);HE;79.1;0;21940;nein;12;2;0
thyssenkrupp AG;Essen;NW;24.10.2000;35048000000;159424;ja;20;5;
thyssenkrupp Elevator AG;Düsseldorf;NW;43.29.9;0;0;nein;8;0;0
thyssenkrupp Marine Systems GmbH;Kiel;SH;30. Jan;0;0;nein;16;5;0
ThyssenKrupp MillServices & Systems GmbH;Duisburg;NW;23.61;0;0;nein;12;2;0
thyssenkrupp System Engineering GmbH;Essen;NW;71.12;0;0;nein;16;2;0
TLG IMMOBILIEN AG;Berlin;BE;68.20;4320847000;116;nein;6;0;1
Toll Collect GmbH;Berlin;BE;52.29.9;0;0;nein;0;0;0
toom Baumarkt GmbH;Köln;NW;46.73.1;0;0;nein;0;0;0
TransnetBW GmbH;Stuttgart;BW;35.13;0;0;nein;12;2;0
Treuhand Hannover GmbH Steuerberatungsgesellschaft;Hannover;NI;69.2;0;0;nein;12;3;0
Trevira GmbH;Bobingen;BY;13. Jan;0;0;nein;3;0;0
Trevira Holdings GmbH;Bobingen;BY;13. Jan;110886228;1024;nein;0;0;0
TRIMET Aluminium SE;Essen;NW;24. Apr;0;0;nein;7;0;0
Trinks GmbH;Goslar;NI;46.34.0;173246893;1271;nein;6;0;0
TROX GmbH;Neukirchen-Vluyn;NW;28.25;289845397;3629;nein;6;1;0
TUI AG;Hannover;NI;79.12;14185500000;62002;ja;20;6;
TUI Deutschland GmbH;Hannover;NI;79.12;0;0;nein;16;8;0
TUIfly GmbH;Langenhagen;NI;51.1;0;0;nein;12;3;0
Turbon AG;Hattingen;NW;64.20.0;71919000;1105;nein;6;0;1
TÜV NORD AG;Hannover;NI;71.20.0;888397000;10113;nein;20;2;0
TÜV Rheinland LGA Products GmbH;Nürnberg;BY;71.20.0;0;0;nein;3;0;0
TÜV Süd Aktiengesellschaft;München;BY;70.1;2050800000;22117;nein;16;4;0
TÜV SÜD Industrie Service GmbH;München;BY;71.20;0;0;nein;12;2;0
TÜV SÜD Product Service GmbH;München;BY;71.20.0;0;0;nein;3;0;0
U.D.O. Universitätsklinikum Dienstleistungsorganisation GmbH;Tübingen;BW;96.09;0;0;nein;6;2;0
UBS Deutschland AG;Frankfurt am Main;HE;66.1;0;0;nein;6;2;0
UBS Europe SE;Frankfurt am Main;HE;64.1;0;0;nein;9;3;0
UniCredit Bank AG;München;BY;64.19;2,99E+11;13405;nein;12;3;0
UniCredit Global Business Services GmbH;Unterföhring;BY;70.10;0;0;nein;9;3;0
Union Asset Management Holding AG;Frankfurt am Main;HE;70.1;2366058000;2910;nein;15;2;0
UNION KRANKENVERSICHERUNG AKTIENGESELLSCHAFT;Saarbrücken;SL;65.12.1;0;0;nein;15;2;0
Uniper Anlagenservice GmbH;Gelsenkirchen;NW;96.09;0;0;nein;3;1;0
Uniper Global Commodities SE;Düsseldorf;NW;35.1;0;0;nein;9;3;0
Uniper Kraftwerke GmbH;Düsseldorf;NW;35.11;0;0;nein;16;4;0
Uniper Technologies GmbH;Gelsenkirchen;NW;71.12.9;0;0;nein;6;2;0
United Labels Aktiengesellschaft;Münster;NW;46.42.1;25961000;99;nein;3;0;1
United Power Technology AG;Eschborn;HE;70.10.1;164845000;604;nein;3;0;0
unitedprint.com SE;Radebeul;SN;18. Nov;0;0;nein;3;2;0
Unitymedia BW GmbH;Köln;NW;61;0;0;nein;3;0;0
Unitymedia GmbH;Köln;NW;64.20.0;9165100000;2650;nein;12;0;0
uniVersa Krankenversicherung a.G.;Nürnberg;BY;65.12.1;4675795205;671;nein;6;2;0
uniVersa Lebensversicherung a. G.;Nürnberg;BY;65.11;1346444803;616;nein;6;3;0
Universitätsklinikum Gießen und Marburg GmbH;Gießen;HE;86.10.2;0;0;nein;12;2;0
UPM GmbH;Augsburg;BY;17. Nov;0;0;nein;3;1;0
üstra Hannoversche Verkehrsbetriebe Aktiengesellschaft;Hannover;NI;49.31;375720752;2536;ja;20;5;
USU Software AG;Möglingen;BW;63;95144000;694;nein;3;0;1
Uzin Utz Aktiengesellschaft;Ulm;BW;20.59.0;295745000;1267;nein;4;0;1
va-Q-tec AG;Würzburg;BY;71.12;110147000;444;nein;6;1;1
VAG Verkehrs- Aktiengesellschaft;Nürnberg;BY;49.31.0;0;0;nein;21;3;0
Vaillant GmbH;Remscheid;NW;28.21.9;2011600000;12062;nein;12;2;0
Vallourec Deutschland GmbH;Düsseldorf;NW;24.20;0;0;nein;15;1;0
Valora Holding Germany GmbH;Hamburg;HH;64.20.0;634057000;2976;nein;0;0;0
Vapiano SE;Bonn;NW;56.10.1;350317000;6400;nein;6;1;1
VARTA AKTIENGESELLSCHAFT;Ellwangen Jagst;BW;64.20.0;331480000;2091;nein;6;0;1
VARTA Microbattery GmbH;Ellwangen Jagst;BW;27.20.0;0;0;nein;6;0;0
Vattenfall Europe Business Services GmbH;Hamburg;HH;70.10;0;0;nein;12;3;0
Vattenfall Europe Information Services GmbH;Hamburg;HH;82.99;0;0;nein;6;1;0
Vattenfall Europe Kundenservice GmbH;Hamburg;HH;69.20.4;0;0;nein;6;1;0
Vattenfall GmbH;Berlin;BE;70.10.1;0;28567;nein;20;7;0
Vattenfall Wärme Berlin Aktiengesellschaft;Berlin;BE;35;0;0;nein;20;6;0
Vattenfall Wärme Hamburg GmbH;Hamburg;HH;35;0;0;nein;12;3;0
VBK - Verkehrsbetriebe Karlsruhe GmbH;Karlsruhe;BW;49.31.0;0;0;nein;15;3;0
VEKA Aktiengesellschaft;Sendenhorst;NW;20.16.0;642174000;5586;nein;3;0;0
Venator Germany GmbH;Duisburg;NW;20.13.0;0;0;nein;3;0;0
VerbundVolksbank OWL eG;Paderborn;NW;64.19.3;0;0;nein;20;2;0
Vereinigte Filzfabriken, Aktiengesellschaft;Giengen an der Brenz;BW;13.99.0;0;0;nein;3;0;1
Vereinigte Volksbank eG;Sindelfingen;BW;64.19.3;0;0;nein;17;2;0
Veritas AG;Gelnhausen;HE;22;276786737;3516;nein;12;2;0
VESTOLIT GmbH;Marl;NW;20.16.0;0;0;nein;3;0;0
VHV Holding AG;Hannover;NI;68.32;0;0;nein;9;0;0
VHV solutions GmbH;Hannover;NI;66.19;0;0;nein;6;1;0
Villeroy & Boch Aktiengesellschaft;Saarbrücken;SL;23.31;687100000;2698;ja;12;1;
VIS GmbH;Bonn;NW;78;0;0;nein;3;1;0
Viscom AG;Hannover;NI;27. Sep;81803000;462;nein;3;1;1
Vishay Electronic GmbH;Selb;BY;27.90.0;0;0;nein;6;2;0
Vita 34 AG;Leipzig;SN;46.46;59317000;125;nein;4;1;1
Vivantes - Forum für Senioren GmbH;Berlin;BE;87.30.0;0;0;nein;6;2;0
Vivantes - Netzwerk für Gesundheit GmbH;Berlin;BE;86.10.1;1343097190;15793;nein;16;9;0
Vivantes Service GmbH;Berlin;BE;86.90.9;0;0;nein;0;0;0
VNG AG;Leipzig;SN;70.10;2519735000;361;nein;21;6;0
Vodafone GmbH;Düsseldorf;NW;61;1,46E+11;106135;nein;16;5;0
voestalpine BWG GmbH;Butzbach;HE;71.12.9;0;0;nein;6;1;0
Voith GmbH & Co. KGaA;Heidenheim an der Brenz;BW;70.10.9;4997880000;18951;nein;20;3;0
Volksbank Alzey-Worms eG;Worms;RP;64.19.3;0;0;nein;25;7;0
Volksbank Darmstadt-Südhessen eG;Darmstadt;HE;64.19;0;0;nein;23;4;0
Volksbank eG Braunschweig Wolfsburg;Wolfsburg;NI;64.19.3;3485519076;744;nein;14;5;0
Volksbank Kassel Göttingen eG;Kassel;HE;64.19.3;0;0;nein;12;3;0
Volksbank Köln Bonn eG;Bonn;NW;64.19.3;0;0;nein;26;9;0
Volksbank Kraichgau eG;Wiesloch und Sinsheim;BW;64.19.3;0;0;nein;18;3;0
Volksbank Lüneburger Heide eG;Winsen;NI;0;0;0;nein;21;5;0
Volksbank Mittelhessen eG;Gießen;HE;64.19.1;0;0;nein;17;4;0
Volksbank Raiffeisenbank Rosenheim-Chiemsee eG;Rosenheim;BY;64.19.3;0;0;nein;18;3;0
Volksbank Stuttgart eG;Stuttgart;BW;64.19.3;0;0;nein;18;4;0
Volksbank Ulm-Biberach eG;Ulm;BW;64.19.3;0;0;nein;12;3;0
VOLKSWAGEN AKTIENGESELLSCHAFT;Braunschweig;NI;29. Jan;4,22E+11;609349;ja;20;4;
VOLKSWAGEN FINANCIAL SERVICES AKTIENGESELLSCHAFT;Braunschweig;NI;82.99;68953000000;10073;nein;12;3;0
VOLKSWOHL-BUND LEBENSVERSICHERUNG a.G.;Dortmund;NW;65.11.0;15347205000;686;nein;6;0;0
Vossloh Aktiengesellschaft;Werdohl;NW;52.2;1265400000;2770;nein;6;1;1
VR Bank Main-Kinzig-Büdingen eG;Büdingen;HE;64.19.3;0;0;nein;19;5;0
VR-LEASING Aktiengesellschaft;Eschborn;HE;68;0;0;nein;15;4;0
VTG Aktiengesellschaft;Hamburg;HH;70.10.1;3905800000;1501;nein;6;1;1
VWR International GmbH;Darmstadt;HE;46.46.2;0;0;nein;3;0;0
W & W Informatik GmbH;Ludwigsburg;BW;63.11.0;0;0;nein;3;1;0
W & W Service GmbH;Stuttgart;BW;81.21;0;0;nein;3;2;0
WABCO Holding GmbH;Hannover;NI;64.20;929898315;2665;nein;12;1;0
Wacker Chemie AG;München;BY;20.14;6835700000;17118;ja;16;2;
Wacker Neuson SE;München;BY;70.10.1;1914200000;5212;nein;6;0;1
Wanzl Metallwarenfabrik Gesellschaft mit beschränkter Haftung;Leipheim;BY;25.99;0;0;nein;0;0;0
WAREMA Renkhoff SE;Marktheidenfeld;BY;13.92.0;295558845;3435;nein;6;1;0
Warth & Klein Grant Thornton AG Wirtschaftsprüfungsgesellschaft;Düsseldorf;NW;69.20.1;0;0;nein;6;1;0
Wärtsilä SAM Electronics GmbH;Hamburg;HH;26. Dez;0;0;nein;3;0;0
WASGAU Produktions & Handels AG;Zweibrücken;RP;46;192233000;3915;ja;12;3;
WashTec AG;Augsburg;BY;70.10.1;237238000;1852;nein;6;0;1
Wayss & Freytag Ingenieurbau AG;Frankfurt am Main;HE;23.61;0;0;nein;3;1;0
Webasto Neubrandenburg GmbH;Neubrandenburg;MV;29. Mrz;0;0;nein;0;0;0
Webasto SE;Gauting;BY;70.1;2301244000;12605;nein;6;0;0
Webasto Utting GmbH;Utting am Ammersee;BY;29. Mrz;0;0;nein;0;0;0
Weber Automotive GmbH;Markdorf;BW;29. Mrz;289952858;1317;nein;0;0;0
WEBER-HYDRAULIK GMBH;Güglingen;BW;28.12.2000;149113931;1681;nein;3;1;0
WEMAG AG;Schwerin;MV;35.11;587867006;541;nein;15;2;0
Westag & Getalit Aktiengesellschaft;Rheda-Wiedenbrück;NW;16;164563000;1253;nein;5;0;1
Westerwald Bank eG Volks- und Raiffeisenbank;Montabaur;RP;64.1;0;0;nein;24;7;0
Westfalen Aktiengesellschaft;Münster;NW;20. Nov;487195000;1594;nein;6;1;0
Westfälische Provinzial Versicherung Aktiengesellschaft;Münster;NW;65.12.2;0;0;nein;21;5;0
Westnetz GmbH;Dortmund;NW;35.13;0;0;nein;16;5;0
Wieland-Werke Aktiengesellschaft;Ulm;BW;25. Sep;1906105000;6687;nein;12;1;0
Wiesbadener Volksbank eG;Wiesbaden;HE;64.19.6;0;0;nein;12;2;0
Wild Bunch AG;Berlin;BE;70.10.1;271677000;149;nein;5;0;1
Willis Towers Watson GmbH;Frankfurt am Main;HE;70.22;0;0;nein;3;1;0
WILO SE;Dortmund;NW;28.13.0;1369417000;7726;nein;6;1;0
windeln.de SE;München;BY;47.91.1;29972000;297;nein;6;1;1
Wintershall Dea Deutschland AG;Hamburg;HH;6;6344000000;1126;nein;12;1;0
Wintershall Holding GmbH;Celle;NI;08.93.0;0;0;nein;9;2;0
WIOSS Witron On Site Services GmbH;Parkstein;BY;62.0;0;0;nein;0;0;0
Wirecard AG;Aschheim;BY;63.99;5854900000;5154;nein;6;3;1
Wismut Gesellschaft mit beschränkter Haftung;Chemnitz;SN;38.3;0;0;nein;9;3;0
WITRON Logistik + Informatik GmbH;Parkstein;BY;71.12.2;371601767;2073;nein;0;0;0
WITTENSTEIN SE;Igersheim;BW;28.99.0;338847414;2293;nein;6;1;0
Witzenmann GmbH;Pforzheim;BW;24.20.1;334669201;3364;nein;9;1;0
WMF Group GmbH;Geislingen an der Steige;BW;25.71.0;919453000;5625;nein;12;1;0
Wolf GmbH;Mainburg;BY;28.29;0;0;nein;3;0;0
WORK SERVICE Deutschland GmbH;Worms;RP;78.1;0;0;nein;0;0;0
WSW Energie & Wasser AG;Wuppertal;NW;35;0;0;nein;20;2;0
WSW mobil GmbH;Wuppertal;NW;70.1;0;0;nein;20;4;0
WSW Wuppertaler Stadtwerke GmbH;Wuppertal;NW;70.1;1250155124;3247;nein;20;4;0
Württembergische Gemeinde-Versicherung auf Gegenseitigkeit;Stuttgart;BW;65.12;2721017690;935;nein;21;5;0
Württembergische Lebensversicherung Aktiengesellschaft;Stuttgart;BW;65.1;32966745000;778;nein;12;3;0
Württembergische Versicherung Aktiengesellschaft;Stuttgart;BW;65.1;0;0;nein;12;3;0
Würzburger Versorgungs- und Verkehrs - Gesellschaft mit beschränkter Haftung;Würzburg;BY;35.1;394113000;1457;nein;15;3;0
Wüstenrot & Württembergische AG;Stuttgart;BW;64.19.6;72018169000;8253;ja;16;1;
Wüstenrot Bausparkasse Aktiengesellschaft;Ludwigsburg;BW;64.19.6;0;0;nein;12;4;0
WWK Lebensversicherung auf Gegenseitigkeit;München;BY;65.11;10030304845;2901;nein;12;2;0
Xella Deutschland GmbH;Duisburg;NW;23.69;0;0;nein;6;1;0
YOC AG;Berlin;BE;73.11.0;6223871;48;nein;3;0;1
Zalando SE;Berlin;BE;62;3233700000;15526;nein;9;2;1
ZEAG Energie AG;Heilbronn;BW;35;419873000;179;nein;9;1;0
ZEG Zentraleinkauf Holz + Kunststoff eG;Kornwestheim;BW;46.73.3;0;0;nein;6;0;0
Zentralklinik Bad Berka GmbH;Bad Berka;TH;86.10.1;0;0;nein;0;0;0
ZF Friedrichshafen AG;Friedrichshafen;BW;28.29;27833000000;142857;nein;20;4;0
ZG Raiffeisen eG;Karlsruhe;BW;94.11;445142013;1939;nein;12;3;0
ZIEHL-ABEGG SE;Künzelsau;BW;28.25;0;0;nein;6;1;0
ZIEMANN SICHERHEIT GmbH;Schallstadt;BW;80.10.0;0;0;nein;0;0;0
zooplus AG;München;BY;47.91.9;301763436;635;nein;6;0;1
Zürich Beteiligungs-Aktiengesellschaft (Deutschland);Frankfurt am Main;HE;64.2;382679000;54335;nein;12;3;0
Zurich Kunden Center GmbH;Frankfurt am Main;HE;70.22;0;0;nein;3;0;0
Zurich Service GmbH;Bonn;NW;65.1;0;0;nein;12;2;0
